id,text,stamp,speaker
76, Savoir d'où l'on part est toujours important.,2022-04-20T19:43:04.928273Z, E.Macron
77," Nous allons passer au sujet de l'UE. Il reste peu de temps sur le sujet de l'international. La question est simple. Elle vous est posée à l'un et à l'autre. Souhaitez-vous rester dans l'UE telle qu'elle est aujourd'hui, avec le couple franco-allemand comme moteur? Je regarde les chronomètres. E.Macron, vous avez un peu de retard. Vous avez la parole.",2022-04-20T19:43:07.701876Z, L.Salamé
78," Pour ma part, j'ai toujours été clair. Notre débat il y a 5 ans avait en grande partie porté sur ce sujet. Il y a 5 ans, 80 % du programme n'étaient applicables que si on sortait de l'euro. Ca avait tourné autour de l'euro ou de l'écu... On n'avait pas très bien compris ce qui se passait. Aujourd'hui, vous voulez toujours en sortir. En tout cas, vous ne le dites plus. Moi, je crois en l'Europe et je crois au couple franco-allemand. C'est ce qui nous a permis d'obtenir des accords, ce qui nous a permis d'avancer. Lors de la pandémie, la France ne produisait pas de vaccins à ARN messager. On était heureux d'en avoir en janvier 2021. On l'a fait parce qu'on a eu un accord européen. On est devenu le 1er continent producteur puis exportateur de vaccins, pour notre sécurité et celle des autres. Il y a d'abord eu un accord franco-allemand. Nous avons bâti une politique de solidarité financière, de mutualisation. Ensemble, nous avons commencé à mettre en place les fondements d'une Europe de la défense. Je suis convaincu que notre souveraineté nationale est européenne et que les 2 se complètent. C'est par l'Europe qu'on sera plus indépendants pour notre énergie, pour notre technologie, notre défense, notre agroalimentaire. Parler d'Europe, c'est aussi parler de nos agriculteurs. Ils savent combien l'Europe est importante pour eux. La PAC les aide à évoluer, à faire avancer cette nouvelle révolution que nous conduisons. Sur tous ces sujets, on a besoin d'une Europe plus forte, plus intégrée. Pour la faire avancer, il faut un couple franco-allemand de confiance. C'est ce que nous faisons aujourd'hui avec le chancelier O.Scholz. C'est la bonne ligne pour le pays.",2022-04-20T19:43:28.924220Z, E.Macron
79," Même question pour vous. Vous dites dans votre programme que vous souhaitez l'avènement d'une Europe des nations qui se substituerait progressivement à l'UE. Ca veut dire que vous voulez sortir de l'UE? L'UE telle qu'elle est aujourd'hui vous convient, avec le couple franco-allemand comme moteur?",2022-04-20T19:45:12.922577Z, G.Bouleau
80, Permettez-moi de dire à E.Macron qu'il n'y a pas de souveraineté européenne car il n'y a pas de peuple européen. Il y a une souveraineté quand il y a un peuple. Il y a une souveraineté française mais pas une souveraineté européenne. Vous souhaitez remplacer la souveraineté française par une souveraineté européenne. Vous l'avez fait symboliquement en remplaçant le drapeau français sous l'Arc de Triomphe par le drapeau européen.,2022-04-20T19:45:32.373657Z, M.Le Pen
81, Je ne l'ai pas fait.,2022-04-20T19:45:55.561264Z, E.Macron
82," L'Europe, ce n'est pas tout ou rien. Je souhaite rester dans l'UE. Je souhaite profondément la faire modifier pour effectivement faire émerger une alliance européenne des nations. Il y a toute une série de politiques de l'UE avec lesquelles je suis en désaccord. Je suis en désaccord avec la multiplication des accords de libre-échange, où on vend des voitures allemandes en sacrifiant les efforts, la concurrence des poulets du Brésil ou des boeufs du Canada. Je suis en désaccord avec la politique des travailleurs détachés. Des dizaines de milliers, des centaines de milliers, même, de travailleurs détachés viennent dans notre pays, travaillent et les charges qu'ils payent ne sont pas payées en France mais dans leur pays d'origine. Je suis opposée à la politique que vous avez soutenue de la ferme à la fourchette, qui vise à baisser de 10 à 20 % la production agricole européenne au moment où le monde est en train de faire face à une crise alimentaire qui va voir un certain nombre de pays être victimes des émeutes Il y a toute une série de politiques dont je me dis: ""Pourquoi la France n'arrive jamais à défendre ses intérêts?"" En tant que députée européenne, j'ai vu l'Allemagne défendre ses intérêts sur des dossiers. Je n'ai jamais vu des dirigeants français défendre les intérêts des Français, de la France, les intérêts des producteurs, des éleveurs et des industriels français. C'est ce que je souhaite faire. Je souhaite que la Commission respecte les nations souveraines, respecte leurs choix, y compris leurs choix de société, car nous faisons des choix de société. Par leur vote, les Français font des choix de société. La Commission européenne doit les respecter. Je veux faire évoluer cette organisation européenne, mais, monsieur Macron, je ne pensais pas que vous tomberiez dans une forme de complotisme. Je ne souhaite pas en sortir. Si je souhaitais en sortir, je le dirais. Si je ne dis pas que je souhaite en sortir, c'est que je ne souhaite pas le faire.",2022-04-20T19:45:57.282988Z, M.Le Pen
83," 80 % de votre programme était applicable sans euro, il y a 5 ans. Changer tout seul un club en réduisant sa cotisation, en disant ""je choisis mes règles"", soit les autres vous suivent... On est 27 autour de la table en Europe. Ce que vous décrivez ressemble à une bande à part, dans votre programme. Vous avez cité 2 choses importantes: les poulets brésiliens... Je veux vous informer que la France s'est opposée au Mercosur. J'ai justement porté une clause miroir. Quand on demande à nos agriculteurs et à nos industriels des choses, on demande la même chose aux autres. On a lutté contre la déforestation importée grâce à l'Europe. On s'est battus pour une PAC qui ne baisse pas malgré le Brexit. On se bat aujourd'hui... Les baisses de production ne sont plus adaptées au contexte. C'est la position française. Je vous en informe. Il faut produire plus en protégeant plus. Sur le travail détaché, il n'y a pas des centaines de milliers de travailleurs détachés. Il y a 500 000 tâches en France qui correspondent à 50 000 travailleurs détachés. Depuis 5 ans, je me bats pour changer cette Europe. Elle ne s'est pas faite spontanément, L'Europe que je décris. L'Europe des vaccins, l'Europe de la mutualisation de la dette... C'est une bataille française de chaque jour que j'ai menée depuis 5 ans. Je me suis battu dans le respect des autres. Sur le travail détaché, on a changé les règles. Pour avoir à travail égal, salaire égal. Pour lutter contre ce qui ne marchait pas. Quand j'essaie de comprendre ce qu'il y a derrière votre réforme du travail détaché, vous voulez quasiment le supprimer. Vous irez l'expliquer aux centaines de milliers de Françaises et de Français qui sont travailleurs détachés Beaucoup de transfrontaliers vivent avec ce système. Vous êtes dans des raccourcis qui ne marchent pas. Des valeurs de l'Europe et des règles du Conseil de l'Europe jusqu'au marché de l'énergie, dont vous proposez de sortir, jusqu'à Schengen, votre projet, quand on remet brique à brique les choses en place, c'est un projet qui consiste à faire sortir la France de l'Europe.",2022-04-20T19:48:28.623204Z, E.Macron
84, Ca s'appelle l'Europe des nations.,2022-04-20T19:50:54.245568Z, M.Le Pen
85," Vous sortez de l'UE, madame Le Pen. On peut décider de ripoliner tout seuls la façade. C'est une copropriété. Dans une copropriété, vous ne pouvez pas dire du jour au lendemain que ça s'appelle comme vous l'avez décidé parce que vous vous appelez M.Le Pen.",2022-04-20T19:50:56.974714Z, E.Macron
86, J'ai beaucoup plus d'ambition que vous.,2022-04-20T19:51:16.049135Z, M.Le Pen
87, J'ai fait avancer les choses. Mais je ne mens pas sur la marchandise. Vous mentez sur la marchandise.,2022-04-20T19:51:18.646607Z, E.Macron
88," Je ne mens pas sur la marchandise. Tout le monde sait que je défends l'Europe des nations. Tout le monde sait ce que je veux changer. Je le ferai avec des alliés. Vous me dites que vous avez obtenu des grandes avancées sur les travailleurs détachés. C'est faux. Vous avez juste obtenu qu'on arrête de frauder, c'est-à-dire que celui que le Français. Les charges continuent à être payées dans le pays d'origine. pour notre pays.",2022-04-20T19:51:24.274613Z, M.Le Pen
89, Vous avez raison.,2022-04-20T19:51:54.685980Z, E.Macron
90," Je peux terminer une phrase, s'il vous plaît, monsieur Macron? Ca crée une préférence étrangère dans un certain nombre de secteurs. Quand une entreprise fait appel à des travailleurs détachés, ça lui coûte moins cher. Par conséquent, les autres entreprises sont obligées de faire aussi appel à des travailleurs détachés. Cette préférence étrangère à l'emploi, je n'en veux pas. Mon objectif, ma priorité, mon obsession, c'est justement que les Français puissent travailler dans leur propre pays. C'est pour cela que je me bats. La valeur travail, trouver du travail, créer du travail et restituer le pouvoir d'achat aux Français.",2022-04-20T19:51:55.804620Z, M.Le Pen
91, Je voudrais dire...,2022-04-20T19:52:36.900204Z, E.Macron
92, On est malheureusement maîtres des horloges. On entend vos différences. Il faut passer aux retraites.,2022-04-20T19:52:40.985117Z, L.Salamé
93," Ce que dit madame Le Pen est vrai, mais la préférence nationale à l'emploi, c'est la fin du marché unique européen. Quand un Bulgare vient travailler en France, vous ne pouvez pas dire que vous n'en voulez pas. Vous ne pouvez pas demander à ce que nos travailleurs français puissent continuer à aller travailler en Allemagne, en Belgique ou dans d'autres pays européens. Vous avez plein de transfrontaliers qui font ça. Vous pensez qu'on peut faire la préférence nationale pour nous mais que les autres ne le demanderont pas. Le marché européen, c'est un marché de libre circulation des travailleurs et de libre circulation des marchandises. Vous proposez de le casser.",2022-04-20T19:52:49.204411Z, E.Macron
94, On évoquera sûrement la priorité nationale au moment des institutions. Vous êtes très européanocentré.,2022-04-20T19:53:28.976203Z, M.Le Pen
95, Je suis aussi français que vous.,2022-04-20T19:53:37.849049Z, E.Macron
96," La France est une puissance mondiale, pas seulement européenne. On n'a pas parlé de l'Afrique, avec laquelle il faut évidemment développer de nouvelles relations. On n'a pas parlé de nos outre-mer, qui sont des plates-formes...",2022-04-20T19:53:40.252180Z, M.Le Pen
97," Ce n'est pas l'étranger, madame Le Pen.",2022-04-20T19:53:52.961592Z, E.Macron
98," Nos outre-mer sont des plates-formes d'influence de la France, justement régionales, à l'égard des pays alentour. On n'a parlé de rien de tout cela parce que vous avez une vision qui rabougrit la France. La France est un pays, dans votre esprit, qui est devenu C'est un pays mondial. Elle doit retrouver cette ambition de grandeur, d'influence dans le monde, y compris avec des partenaires privilégiés, notamment des pays francophones d'Afrique, qui sont des partenaires historiques, avec lesquels il faut refonder une relation en oubliant la terrible...",2022-04-20T19:53:57.830080Z, M.Le Pen
99," C'est effarant de voir avec quel cynisme vous avancez. Vous expliquez que le marché européen, finito. Pareil sur les marchandises parce que vous remettez des contrôles aux frontières en mettant autant de douaniers qu'en 1990. C'est dans votre programma. Vous parlez de rabougrissement. sur le rabougrissement sur les frontières nationales. Vous avez fait une conférence sur l'international l'autre jour et vous n'avez pas eu un mot sur l'Afrique. J'ai fait plus de voyages qu'aucun de mes prédécesseurs sur le continent africain. Je tiens à ce continent. Je regardais avec lucidité et courage notre histoire sur ce sujet. Ce n'est pas votre cas. Quand ils vous regardent, ils sont médusés. Vous voulez faire de la France le 1er pays au monde qui interdira le voile sur la voie publique. Vous voulez faire de notre pays un pays...",2022-04-20T19:54:40.990337Z, E.Macron
100, E.Macron...,2022-04-20T19:55:41.179380Z, G.Bouleau
101," Vous voulez être une grande puissance mondiale qui rayonne. Le projet que vous portez est un projet de rétrécissement, attentatoire à l'universalisme français. C'est normal. C'est le projet du Front national depuis le début de son histoire. C'est une réalité.",2022-04-20T19:55:45.049177Z, E.Macron
102, Vos propos sont confus.,2022-04-20T19:55:58.745925Z, M.Le Pen
103," Vous aurez tout loisir... Vous aurez tout loisir, l'un et l'autre, de parler",2022-04-20T19:56:00.953498Z, G.Bouleau
104," On est obligés de passer aux thèmes suivants. Vos échanges sont passionnants. Les Français voient précisément vos différences sur l'international et l'Europe, mais on doit passer à un thème qui a été très débattu dans cette campagne. Là encore, on voit vos désaccords. Jusqu'à quel âge devrons-nous travailler si vous êtes élus, l'un et l'autre? Vous avez l'un et l'autre évolué récemment sur cette question. Les Français ont parfois du mal à comprendre ce que vous proposez précisément. M.Le Pen, vous présidente, en 2027, à la fin de votre quinquennat, à quel âge les Français partiront à la retraite?",2022-04-20T19:56:08.950922Z, L.Salamé
105," Ils partiront à la retraite entre 60 et 62 ans pour avoir une retraite pleine. Il leur faudra entre 40 et 42 annuités. Dans le choix que j'ai fait, parce que philosophiquement, je considère que le système de protection sociale, c'est le bien de ceux qui n'en ont pas, le patrimoine de ceux qui n'en ont pas. Il s'exprime par la solidarité nationale. J'y suis profondément attachée. C'est l'un des éléments de la Ve République. Dans ce système de protection sociale, la retraite a un rôle extrêmement important. La justice nécessite de considérer que plus on travaille tôt, plus on travaille dur, plus il faut partir tôt. Par conséquent, je propose un système progressif. Tous ceux qui auront eu un 1er emploi significatif avant l'âge de 20 ans, entre 17 et 20 ans, pourront partir à la retraite à 60 ans après 40 annuités. Au fur et à mesure de l'âge auquel on rentre dans le système, on atteindra maximum 42 annuités, 62 ans. C'est fort différent du projet de monsieur Macron, qui veut faire travailler tout le monde jusqu'à 65 ans. Permettez-moi de rappeler, parce que les amis de monsieur Macron ont essayé de créer une incertitude et une inquiétude auprès des Français, que tout dispositif particulier, carrière longue et autres, sera évidemment prioritaire sur ma réforme. Si quelqu'un a, grâce à un dispositif de carrière longue, un bénéfice plus avantageux pour lui, c'est le système de carrière longue qui s'appliquera. Mais la retraite à 65 ans, c'est une injustice absolument insupportable, monsieur Macron. Envisager que les Français partent à la retraite alors qu'ils ne seront plus capables d'en profiter, alors que, très certainement, la majorité d'entre eux ne seront plus en activité, parce que déjà, à 62 ans et 8 mois, la moitié sont en inactivité au moment où ils prennent leur retraite... Envisager que plus personne ne puisse avoir une retraite pleine car plus personne n'arrivera à cet âge-là, avec le nombre d'annuités qui va évidemment augmenter aussi... Si vous augmentez l'âge de départ à la retraite, vous augmentez évidemment le nombre d'annuités. Je suppose. On n'a pas réussi à trop savoir. Darmanin a dit 40. G.Attal a dit 42 ou 43. Quoi qu'il en soit, je considère que c'est profondément injuste et absolument pas justifié sur le plan budgétaire, contrairement à ce que vous dites.",2022-04-20T19:56:42.978782Z, M.Le Pen
106," E.Macron, même question qu'à M.Le Pen. Si vous êtes réélu président de la République, pouvez-vous dire clairement aux Français à quel âge ils partiront à la retraite à la fin d'un éventuel 2d quinquennat, en 2027?",2022-04-20T19:59:21.144372Z, G.Bouleau
107," Oui. On a beaucoup de progrès à financer. On l'a fait durant ce quinquennat, sur la santé et sur d'autres sujets. On a continué, en particulier pour le grand âge et pour permettre l'autonomie... On a aussi amélioré le niveau des retraites. Y compris pour toutes celles et ceux qui sont à la retraite, je propose de passer au minimum contributif, c'est-à-dire une carrière complète, à 1100 euros. Je pense qu'il faut une différence. Je propose de passer le minimum contributif, qui est de 980 euros, à 1100 euros. Ces progrès, il faut pouvoir les financer. Avant même ces progrès, notre régime est déséquilibré. Il l'est jusqu'au milieu des années 2030, selon l'organisme indépendant, le COR. Les actifs payent pour les retraités. Je ne veux pas d'un projet qui fragilise les pensions de nos retraités. Vous n'êtes pas claire là-dessus. Je veux continuer d'améliorer les pensions et de les mettre à 1100 euros pour ceux qui ont une carrière complète. Je ne veux pas que les impôts augmentent. Je suis crédible. Je les ai baissés pendant ce quinquennat, de 50 milliards d'euros, dont 25 milliards pour les ménages. Les impôts sur le revenu ont baissé. Je suis crédible. Je ne vais pas remonter les impôts. Je veux qu'ils baissent. Je ne veux pas augmenter notre dette. Je veux commencer à rembourser. Les Français me font confiance. Il n'y a qu'une manière de financer, c'est de travailler progressivement plus, avec un pilier, le plein-emploi. Pour moi, le travail est un fil rouge. Il s'agit de réussir à faire comme ce que l'on a fait sous ce quinquennat. Le 2e pilier, c'est de décaler l'âge légal de 4 mois par an. Vous atteindrez, en 2028, 64 et en 2031, 65. Ce n'est pas du jour au lendemain, comme vous le laissez entendre. C'est 4 mois par an, en prenant en compte plusieurs dispositifs. Le premier, c'est la carrière longue. Il faut garder ce dispositif. Le 2e, c'est la pénibilité. Vous proposez de supprimer le système de pénibilité. Nous 4, objectivement, il est vraisemblable que l'on travaillera au-delà de 65 ans. Il faut de la liberté. Il s'agit de protéger ceux qui ont des métiers pénibles, pour qu'ils partent bien avant.",2022-04-20T19:59:36.977294Z, E.Macron
108," A 60 ans et 40 annuités, par exemple.",2022-04-20T20:02:26.928173Z, M.Le Pen
109," Vous n'êtes pas davantage juste. Vous ne prenez pas en compte les critères de pénibilité. Un professionnel qui commence un métier pénible à 25 ans devra aller jusqu'à 65 ans. Les critères de pénibilité permettent d'être juste. C'est ça qu'il faut concerter avec les syndicats. Carrière longue, pénibilité, pour les ouvriers agricoles, les gens qui travaillent dans les abattoirs, les travailleurs de nuit, les transporteurs routiers. Troisièmement, il faut supprimer les régimes spéciaux, et donc, les personnes que l'on embauche dans ces régimes, en particulier chez EDF ou à la RATP, doivent rentrer dans le système général. Je fais ça pour financer les progrès. Vous, vous n'expliquez jamais comment vous financez vos progrès. Vous n'êtes pas honnête avec les gens. Moi, j'explique. Pour se faire élire, c'est plus simple de dire que l'on va revenir sur une réforme antérieure. C'est ce que vous faites. Vous revenez sur un système qui n'est déjà pas équilibré. Soit vous avez des impôts cachés, soit vous allez mettre en péril les pensions des retraités.",2022-04-20T20:02:29.539549Z, E.Macron
110," Vous êtes le président qui a créé 600 milliards d'euros de dette supplémentaires en 5 ans, dont les 2/3 n'ont rien à voir avec le covid.",2022-04-20T20:03:40.579240Z, M.Le Pen
111, C'est faux.,2022-04-20T20:03:52.893625Z, E.Macron
112, 600 milliards de dette supplémentaires. Les 2/3 n'ont rien à voir avec le covid. Ce sont les chiffres de vos propres ministères. C'est 145 milliards pour le covid.,2022-04-20T20:03:53.109006Z, M.Le Pen
113," C'est la Sécurité sociale, les collectivités. Arrêtez de tout confondre!",2022-04-20T20:04:01.545420Z, E.Macron
114, Ne me donnez pas de leçons...,2022-04-20T20:04:06.122036Z, M.Le Pen
115, Je connais ce numéro par coeur.,2022-04-20T20:04:08.906124Z, E.Macron
116, Ne me donnez pas de leçons sur le financement de mon projet.,2022-04-20T20:04:11.338032Z, M.Le Pen
117, Elle a 2 minutes de retard.,2022-04-20T20:04:16.938627Z, L.Salamé
118," Revenons sur les 600 milliards de dette. Qu'auriez-vous fait? On a baissé le déficit les premières années du quinquennat. La dette a commencé à être remboursée. Les 600 milliards d'euros de dette, c'est 200 milliards de la partie Etat. Le reste, ce sont les collectivités locales et la Sécurité sociale. Nous n'avons pas prélevé les cotisations car les gens ne pouvaient plus travailler. On a même fait des décalages, des exonérations de cotisations. Le ""quoi qu'il en coûte"", vous avez voté contre. Vous auriez fait quoi?",2022-04-20T20:04:17.802284Z, E.Macron
119, Vous avez 3 minutes de retard. Vous avez la parole.,2022-04-20T20:05:01.976245Z, L.Salamé
120, Ca va me permettre de revenir...,2022-04-20T20:05:05.554791Z, M.Le Pen
121, Vous ne répondez pas à ma question.,2022-04-20T20:05:07.720848Z, E.Macron
122," Je vais répondre à tout, y compris aux choses fausses que vous dites depuis tout à l'heure. Tout à l'heure, vous avez dit que vous aviez baissé le chômage. C'est analysé par le Bureau international du Travail. C'est un chiffrage très contesté. En réalité, il est très restrictif. Les chiffres du chômage, les chômeurs A, B, C, étaient 5,5 millions quand vous avez été élu. Ils sont maintenant 5,4 millions.",2022-04-20T20:05:10.346973Z, M.Le Pen
123, Personne n'a jamais compté les catégories B et C.,2022-04-20T20:05:38.007946Z, E.Macron
124," On transfère les uns et les autres Tout ça, ce sont des statistiques bien connues. Des gens qui cherchent activement un emploi, il y en avait 5,5 millions quand vous avez été élu. Il y en a maintenant 5,4 millions. En matière de succès sur le chômage, permettez-moi d'être dubitative. Vous expliquez que vous avez fait beaucoup d'efforts pour les plus modestes. Ce que je vois, c'est qu'il y a 400 000 pauvres supplémentaires sous votre quinquennat. Dans notre pays, il y a 9,8 millions de pauvres C'est votre résultat, désolée de vous le dire. Vous dites que vous êtes très bon en économie, que les entreprises vous adorent. Il y a 85 milliards de déficit de la balance commerciale. Ce n'est pas un chiffre que l'on peut pipeauter. C'est un record absolu. Le chiffre le plus brutal, le plus cruel pour vous, c'est peut-être le chiffre de la productivité. Le chiffre de la productivité décroche totalement, à compter de votre élection. L'augmentation de la productivité est de 0,1 % alors qu'elle est de 1,8 % pour l'ensemble des pays de l'OCDE. Le Mozart de la finance, c'est comme ça qu'on vous avait présenté... Je ne dis pas que vous le disiez vous-même. En tout cas, vous avez un bilan économique très mauvais. J'ai oublié les 14 500 emplois industriels perdus sous votre quinquennat, et un bilan social qui est encore pire. Quand je viens vous dire qu'il y a un autre projet à mettre en oeuvre, qu'il faut changer les priorités, les méthodes, la manière dont on envisage l'économie, qu'il faut faire du patriotisme économique, de la relocalisation des activités, réindustrialiser notre pays, aider les TPE et les PME en leur accordant des baisses de fiscalité, et pas aux grands groupes, comme vous l'avez fait... Quand vous parlez de baisses d'impôts, vous pensez toujours aux gros et jamais aux petits. Vous parlez des baisses d'impôts pour les Français. Vous avez oublié que la plus grosse baisse, c'était la suppression de l'impôt sur les grandes fortunes.",2022-04-20T20:05:40.897546Z, M.Le Pen
125, Il y a eu aussi la baisse de la flat tax.,2022-04-20T20:08:08.974032Z, M.Le Pen
126," C'est la taxe d'habitation, de très loin.",2022-04-20T20:08:11.446329Z, E.Macron
127, La taxe d'habitation que les Français sont en train de payer par la hausse de la taxe foncière.,2022-04-20T20:08:14.314824Z, M.Le Pen
128," Que tout le monde regarde les chiffres. C'est la taxe d'habitation, de très loin.",2022-04-20T20:08:19.364656Z, E.Macron
129, Vous débattez sur le financement de vos programmes respectifs.,2022-04-20T20:08:24.908410Z, L.Salamé
130," Quelques secondes, E.Macron.",2022-04-20T20:08:27.872671Z, G.Bouleau
131," Madame Le Pen n'a pas répondu sur le covid. J'ai expliqué ce qu'étaient les 600 milliards de dette. Je les assume totalement. On a eu une récession 3 fois plus lourde que pendant la crise financière. On en sort aujourd'hui. Dans votre programme, il n'y a pas le mot ""chômage"". Pourquoi? Parce qu'on a aidé. Vous dites qu'on aide les grands groupes. Les restaurateurs, les commerçants, les artisans, les petits industriels qui nous écoutent aujourd'hui... Qu'ils viennent témoigner! Qu'ils viennent vous parler! Ils vous diront qui les a aidés avec le fonds de solidarité, le chômage partiel, les prêts garantis, la prise en charge de leurs propres cotisations. C'est le gouvernement qui les a aidés. J'en suis fier! On a constitué tous ensemble les 600 milliards de dette. On a vécu une pandémie. Malgré tout, contrairement aux chiffres que vous avez donnés, on a baissé le chômage. Il est passé à 6,4 %. Le Bureau international du Travail est l'organisme qui fait référence. Personne ne compte les catégories B et C du chômage. Ce sont des actifs partiels.",2022-04-20T20:08:32.996262Z, E.Macron
132, Ils seront contents de l'apprendre.,2022-04-20T20:09:44.916390Z, M.Le Pen
133," Ce n'est pas Gérard Majax, ce soir! On parle de vies, derrière. On parle de la vie de commerçants et d'artisans. C'est ça, la dette covid. Vous avez voté contre.",2022-04-20T20:09:57.805478Z, E.Macron
134, Non...,2022-04-20T20:10:12.923304Z, M.Le Pen
135, La députée Le Pen a voté contre.,2022-04-20T20:10:14.827640Z, E.Macron
136, Arrêtez...,2022-04-20T20:10:16.903135Z, M.Le Pen
137, Comment auriez-vous fait? Dites-nous ce que vous auriez fait autrement.,2022-04-20T20:10:18.709193Z, E.Macron
138, En quelques secondes...,2022-04-20T20:10:22.600470Z, G.Bouleau
139," Lors du 1er confinement, j'avais proposé des fonds propres à toutes les TPE et PME. J'avais proposé 1500 euros par entreprise, plus 1000 euros par salarié. C'étaient des fonds propres. Vous avez fait le choix d'un certain nombre de PGE qui doivent être remboursés par les entreprises. Beaucoup vont mourir parce qu'elles n'y arriveront pas.",2022-04-20T20:10:24.901747Z, M.Le Pen
140, On les décale à chaque fois.,2022-04-20T20:10:43.093791Z, E.Macron
141," Vous les inscrivez sur les fichiers des banques en faisant ça. Elles ne peuvent plus investir. Pour tout le reste, j'ai été en désaccord avec vous après le 1er confinement. Vous avez continué les couvre-feux. Vous avez continué de fermer les commerces en considérant qu'il y avait des essentiels et des non-essentiels. J'étais en désaccord avec tout ça. A cette époque-là, après le 1er confinement, on savait qu'en réalité, les petits commerces n'étaient pas des lieux de transmission du virus. Vous avez fait des fermetures administratives. Vous venez expliquer aujourd'hui que les commerçants devraient vous être reconnaissants de leur avoir compensé les pertes que vous avez vous-même suscitées en les fermant de manière administrative? Je ne suis pas d'accord.",2022-04-20T20:10:45.020048Z, M.Le Pen
142, Je n'aurai pas la cruauté de revenir sur la période du covid.,2022-04-20T20:11:28.922884Z, E.Macron
143, Vous pouvez. Ca ne me pose pas problème.,2022-04-20T20:11:32.074155Z, M.Le Pen
144," Les vaccins russes, là encore... Vous proposiez d'administrer Spoutnik V.",2022-04-20T20:11:36.903365Z, E.Macron
145, C'est ce que disait aussi R.Muselier...,2022-04-20T20:11:44.902401Z, M.Le Pen
146," Mais en face de moi, j'ai M.Le Pen.",2022-04-20T20:11:46.748980Z, E.Macron
147," Il vote pour vous, maintenant.",2022-04-20T20:11:50.757690Z, M.Le Pen
148," Quand je regarde comment vos amis ont géré la crise covid, je suis fier de la façon dont on a géré cette crise.",2022-04-20T20:11:52.920190Z, E.Macron
149," Vous voulez parler de la dépendance. On va aussi parler de l'hôpital. Ce sont des sujets majeurs. Revenons sur l'hôpital public. Il est menacé d'effondrement. C'est ce que disent les médecins et les infirmiers. Ils le disent encore plus depuis l'épidémie de covid. Si vous êtes réélu, E.Macron, qu'allez-vous dire aux personnels Ca ira mieux avec vous?",2022-04-20T20:12:01.826996Z, L.Salamé
150," On a une crise à l'hôpital et dans les déserts médicaux, dans beaucoup de nos territoires, qu'il s'agisse des quartiers comme de la grande ruralité. Sur ce sujet, des décisions ont été prises dès 2018. J'ai mis fin aux tarifs hospitaliers. J'ai aussi mis fin au numerus clausus. Malheureusement, ça prend du temps. J'ai une gratitude infinie à l'égard de l'ensemble des soignants. Nous avons pris une décision historique pendant la crise, une décision d'investissement, plus de 19 milliards d'euros dans nos hôpitaux, mais aussi des investissements dans les salaires. On a revalorisé les salaires pour tous les soignants, d'au moins 183 euros par mois. Ca n'avait jamais été fait. Ce n'est pas suffisant. Je sais tout ce que je leur dois. Je sais que la situation est très dure. Il y a un manque historique de médecins, de soignants. On va commencer à améliorer les choses pour les infirmiers et les aides-soignants dans les mois qui viennent. Je sais qu'aujourd'hui, ce sont les conditions de travail qui sont les plus dures. On doit continuer à investir dans notre système de santé pour redresser l'hôpital, pour réembaucher. Il faut attirer les gens et améliorer les conditions. Il faut donc continuer d'y investir. Je propose une série de mesures pour mettre fin aux déserts médicaux. C'est une méthode totalement nouvelle à l'échelle d'un territoire. On va faire travailler nos personnels à l'hôpital avec notre médecine de ville, avec les paramédicaux, les pharmaciens, les infirmiers de ville, les kinés, l'ensemble de ces professions, pour avoir une offre de soins organisée à l'échelle d'un territoire, permettant d'avoir un référent de santé pour nos compatriotes, en particulier pour les plus âgés. On va devoir continuer à investir. C'est dans mon projet.",2022-04-20T20:12:26.792324Z, E.Macron
151," Face à cet effondrement de l'hôpital public, ce qui est constaté par les professionnels de santé, si vous êtes élue présidente, en 2027, l'hôpital ira beaucoup mieux?",2022-04-20T20:14:25.018773Z, G.Bouleau
152," Oui. Je suis frappée d'une chose... Pendant votre quinquennat, vous aurez attendu les crises. Il n'y a que les crises qui arrivent à vous faire bouger. Il a fallu la crise sanitaire pour s'apercevoir que le personnel soignant était dans une souffrance inouie depuis des années. Vous n'avez pas fait preuve de beaucoup d'empathie à son égard. Vous avez licencié 15 000 soignants sans salaire, du jour au lendemain, parce que vous refusez qu'ils puissent tester avant de venir travailler, parce que vous vouliez qu'ils soient à tout prix vaccinés... Ce n'était pas bien de faire ça. Moi, je les réintégrerai. Je leur restituerai le salaire dont ils ont été privés. Encore une fois, il a fallu attendre la crise. L'effondrement de l'hôpital, on le connaissait. Cela faisait déjà 3 ou 4 ans que vous étiez au pouvoir. Vous auriez pu considérer que c'était une urgence. Vous ne l'avez pas fait. C'est l'effondrement. Les infirmiers sont en sous-effectif. Il y a des déserts médicaux. Ca fait des années. Plus personne n'arrive à trouver de médecin. Vous avez supprimé le numerus clausus l'an dernier.",2022-04-20T20:14:36.415791Z, M.Le Pen
153, En 2018.,2022-04-20T20:15:53.107953Z, E.Macron
